Ord,Descripción,Socio Nº ,Adjudicado
73,MICROONDAS 20 LTS - TOKYO,,
74,MICROONDAS 20 LTS - TOKYO,,
75,MICROONDAS 20 LTS - TOKYO,,
76,COCINA 4H M/INOX - ATLAS,,
77,COCINA 4H M/INOX - ATLAS,,
78,COCINA 4H M/INOX - ATLAS,,
79,COCINA 4H M/INOX - ATLAS,,
80,COCINA 4H M/INOX - ATLAS,,
81,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
82,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
83,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
84,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
85,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
86,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
87,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
88,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
89,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
90,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
91,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
92,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
93,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
94,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
95,HORNO ELECTRICO DE  45  LTS. - TOKYO,,
96,"BAFLE PORTATIL  12"" - TOKYO",,
97,"BAFLE PORTATIL  12"" - TOKYO",,
98,"BAFLE PORTATIL  12"" - TOKYO",,
99,"BAFLE PORTATIL  12"" - TOKYO",,
100,"BAFLE PORTATIL  12"" - TOKYO",,
101,LAVARROPAS 5 K - TOKYO,,
102,LAVARROPAS 5 K - TOKYO,,
103,LAVARROPAS 5 K - TOKYO,,
104,SPEAKER JBL CHARGE 5 - JBL,,
105,SPEAKER JBL CHARGE 5 - JBL,,
106,SPEAKER JBL CHARGE 5 - JBL,,
107,SPEAKER JBL CHARGE 5 - JBL,,
108,SPEAKER JBL CHARGE 5 - JBL,,
109,SPEAKER JBL CHARGE 5 - JBL,,
110,SPEAKER JBL CHARGE 5 - JBL,,
111,SPEAKER JBL CHARGE 5 - JBL,,
112,SPEAKER JBL CHARGE 5 - JBL,,
113,SPEAKER JBL CHARGE 5 - JBL,,
114,HIDROLAVADORA 1900W C/A - MICHELIN,,
115,HIDROLAVADORA 1900W C/A - MICHELIN,,
116,HIDROLAVADORA 1900W C/A - MICHELIN,,
117,"TV LED 43""  SMART - TOKYO",,
118,"TV LED 43""  SMART - TOKYO",,
119,"TV LED 43""  SMART - TOKYO",,
120,"TV LED 43""  SMART - TOKYO",,
121,"TV LED 43""  SMART - TOKYO",,
122,HELADERA  MAGNA  300 2P - TOKYO,,
123,HELADERA  MAGNA  300 2P - TOKYO,,
124,HELADERA  MAGNA  300 2P - TOKYO,,
125,HELADERA  MAGNA  300 2P - TOKYO,,
126,HELADERA  MAGNA  300 2P - TOKYO,,
127,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
128,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
129,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
130,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
131,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
132,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
133,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
134,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
135,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
136,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
137,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
138,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
139,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
140,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
141,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
142,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
143,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
144,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
145,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
146,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
147,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
148,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
149,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
150,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
151,AIRE ACONDICIONADO SPLIT 12.000 BTU - TOKYO,,
152,HELADERA 2P F/H MAGNA PLUS 350 BL - TOKYO,,
153,HELADERA 2P F/H MAGNA PLUS 350 BL - TOKYO,,
154,HELADERA 2P F/H MAGNA PLUS 350 BL - TOKYO,,
155,HELADERA 2P F/H MAGNA PLUS 350 BL - TOKYO,,
156,HELADERA 2P F/H MAGNA PLUS 350 BL - TOKYO,,
157,"TV LED 50""  SMART - TOKYO",,
158,"TV LED 50""  SMART - TOKYO",,
159,"TV LED 50""  SMART - TOKYO",,
160,"TV LED 50""  SMART - TOKYO",,
161,"TV LED 50""  SMART - TOKYO",,
162,"TV LED 50""  SMART - TOKYO",,
163,"TV LED 50""  SMART - TOKYO",,
164,"TV LED 50""  SMART - TOKYO",,
165,NOTEBOOK 14 - HP,,
166,FREEZER VERTICAL 5 CAJONES - JAM,,
167,FREEZER VERTICAL 5 CAJONES - JAM,,
168,FREEZER VERTICAL 5 CAJONES - JAM,,
169,HELADERA 2P F/S 400 LTS INOX - WHIRLPOOL,,
170,HELADERA 2P F/S 400 LTS INOX - WHIRLPOOL,,
171,HELADERA 2P F/S 400 LTS INOX - WHIRLPOOL,,
